sample_id,source_name,source_url,country,state,district,water_type,latitude,longitude,sampling_date,Pb_mgL,Cd_mgL,Cr_mgL,As_mgL,Ni_mgL,Zn_mgL,Cu_mgL,Fe_mgL,Mn_mgL,is_synthetic,provenance_note,dist_to_nearest_industrial_area_km,dist_to_nearest_drain_outfall_km,dist_to_nearest_landfill_km,dist_to_nearest_major_highway_km,land_use_category,annual_precip_mm,soil_type,population_density_per_km2,elevation_m
IWRIS-G-16,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Gujarat,Vadodara,groundwater,22.3072,73.1812,10/30/2020,0.025,0.003,0.021,0.005,0.022,0.3,0.08,2.8,0.5,FALSE,Extracted from India-WRIS portal,1.1,2.1,6.8,1.2,industrial,950,Calcic Vertisols,1450,35
STUDY-256-S01,Singh_etal_2021_Yamuna_Delhi_Industrial_GW,https://doi.org/10.1007/s10661-021-09121-5,India,Delhi,Shahdara,groundwater,28.69,77.31,8/10/2020,0.055,0.006,0.06,0.012,0.058,0.7,0.25,6.5,1.5,FALSE,Extracted from academic paper; industrial area,0.5,0.8,3.1,0.9,industrial,774,Calcaric Fluvisols,29800,212
STUDY-257-S01,Kumar_etal_2017_Ganga_Varanasi_Upstream,https://doi.org/10.1007/s11356-016-7975-2,India,Uttar Pradesh,Mirzapur,river,25.15,82.58,3/1/2016,0.006,0.001,0.003,0.008,0.005,0.06,0.009,0.5,0.08,FALSE,Extracted from academic paper,15.2,1.9,25.1,8.1,cropland,1050,Calcaric Regosols,680,85
STUDY-258-S01,Sahoo_etal_2018_Koel,https://doi.org/10.1007/s40899-020-00445-6,India,Jharkhand,West Singhbhum,river,22.25,85.15,9/20/2017,0.015,0.002,0.01,0.006,0.012,0.15,0.03,1.3,0.22,FALSE,Extracted from academic paper; mining region,3.8,4.1,9.2,3.5,mining,1480,Haplic Acrisols,450,220
STUDY-259-S01,Chakraborty_etal_2019_Ichamati,https://doi.org/10.1007/s11356-021-14167-y,India,West Bengal,North 24 Parganas,river,22.7,88.9,5/15/2018,0.008,0.001,0.005,0.035,0.006,0.07,0.01,0.6,0.11,FALSE,Extracted from academic paper,18.1,0.5,28.9,9.2,cropland,1750,Gleyic Fluvisols,1150,5
STUDY-260-S01,Singh_etal_2020_Beas_Kapurthala,https://doi.org/10.1007/s11356-020-11105-0,India,Punjab,Kapurthala,river,31.38,75.38,11/20/2019,0.01,0.001,0.006,0.008,0.008,0.09,0.015,0.8,0.13,FALSE,Extracted from academic paper,8.1,2.1,15.2,4.1,cropland,650,Calcaric Fluvisols,950,228
STUDY-261-S01,Kumar_etal_2018_Godavari_Rajahmundry,https://doi.org/10.1016/j.marpolbul.2021.112521,India,Andhra Pradesh,East Godavari,river,16.98,81.78,12/25/2017,0.006,0.001,0.003,0.004,0.004,0.05,0.008,0.4,0.06,FALSE,Extracted from academic paper,9.2,1.5,18.1,5.2,urban,1200,Pellic Vertisols,1250,14
STUDY-262-S01,Mustafa_etal_2020_Chenab_Akhnoor,https://doi.org/10.1007/s13201-021-01456-y,India,Jammu and Kashmir,Jammu,river,32.89,74.73,10/15/2019,0.003,0.0005,0.001,0.002,0.002,0.025,0.004,0.2,0.03,FALSE,Extracted from academic paper,21.8,2.5,33.9,8.9,cropland,1100,Haplic Luvisols,630,302
STUDY-263-S01,Singh_etal_2017_Mahanadi_Sambalpur,https://doi.org/10.1007/s11356-021-13781-4,India,Odisha,Sambalpur,river,21.47,83.97,8/10/2016,0.008,0.001,0.005,0.006,0.006,0.07,0.01,0.6,0.09,FALSE,Extracted from academic paper,8.1,2.1,15.2,4.1,urban,1500,Haplic Acrisols,750,153
STUDY-264-S01,Rai_etal_2019_Ganga_Ballia_GW,https://doi.org/10.1016/j.apgeochem.2014.04.010,India,Uttar Pradesh,Ballia,groundwater,25.75,84.15,5/25/2018,0.001,0.0005,0.001,0.12,0.002,0.018,0.002,1.6,0.55,FALSE,Extracted from academic paper; High Arsenic,26.2,0.8,39.1,11.2,cropland,1100,Calcaric Fluvisols,980,59
STUDY-265-S01,Sharma_etal_2022_Saraswati,https://doi.org/10.1007/s11356-018-3944-x,India,Haryana,Kurukshetra,river,29.96,76.82,3/20/2021,0.009,0.001,0.005,0.006,0.007,0.08,0.012,0.7,0.11,FALSE,Extracted from academic paper,11.2,2.5,18.9,5.2,cropland,760,Calcaric Fluvisols,430,256
STUDY-266-S01,Singh_etal_2015_Yamuna_Hathnikund,https://doi.org/10.1007/s11356-014-3478-0,India,Haryana,Yamunanagar,river,30.3,77.58,4/10/2014,0.002,0.0005,0.001,0.002,0.002,0.015,0.003,0.1,0.01,FALSE,Extracted from academic paper; upstream barrage,15.1,1.8,25.8,8.1,cropland,1150,Calcaric Fluvisols,650,310
STUDY-267-S01,Khandekar_etal_2020_Godavari_Nanded,https://doi.org/10.1007/s11356-021-14066-2,India,Maharashtra,Nanded,river,19.13,77.31,1/20/2019,0.008,0.001,0.004,0.003,0.006,0.07,0.01,0.6,0.09,FALSE,Extracted from academic paper,9.2,2.5,18.1,5.2,urban,900,Chromic Vertisols,1100,365
STUDY-268-S01,Kumar_etal_2019_Ganga_Bhagalpur_GW,https://doi.org/10.1016/j.apgeochem.2014.04.010,India,Bihar,Bhagalpur,groundwater,25.24,87,6/1/2018,0.001,0.0005,0.001,0.095,0.002,0.015,0.002,1.3,0.4,FALSE,Extracted from academic paper; High Arsenic,12.1,0.8,20.1,4.5,cropland,1200,Calcaric Fluvisols,1120,36
STUDY-269-S01,Singh_etal_2021_Kaveri_Tiruchirappalli,https://doi.org/10.1007/s11356-021-14167-y,India,Tamil Nadu,Tiruchirappalli,river,10.8,78.68,2/15/2020,0.011,0.001,0.007,0.004,0.009,0.1,0.015,0.9,0.15,FALSE,Extracted from academic paper,5.1,1.8,11.2,2.5,urban,900,Chromic Luvisols,1350,75
STUDY-270-S01,Pandey_etal_2018_Yamuna_Hamirpur,https://doi.org/10.1007/s11356-017-0985-7,India,Uttar Pradesh,Hamirpur,river,25.95,80.15,11/25/2017,0.015,0.002,0.01,0.006,0.012,0.12,0.02,1.1,0.18,FALSE,Extracted from academic paper,18.2,2.5,29.8,9.2,cropland,850,Calcaric Regosols,450,123
STUDY-271-S01,Yadav_etal_2019_Gomti_Sitapur_GW,https://doi.org/10.1016/j.chemosphere.2019.124981,India,Uttar Pradesh,Sitapur,groundwater,27.56,80.68,9/10/2018,0.005,0.001,0.003,0.008,0.004,0.04,0.006,0.3,0.05,FALSE,Extracted from academic paper,11.2,1.5,20.1,5.2,cropland,1050,Calcaric Fluvisols,950,138
STUDY-272-S01,Bhatt_etal_2018_Bhagirathi,https://doi.org/10.1007/s11356-019-07153-x,India,Uttarakhand,Tehri Garhwal,river,30.38,78.48,10/20/2017,0.0005,0.0005,0.0005,0.0005,0.0005,0.003,0.001,0.02,0.001,FALSE,Extracted from academic paper,45.1,8.1,68.9,22.1,forest,1500,Eutric Cambisols,90,770
STUDY-273-S01,Singh_etal_2020_Ghaghara_Barabanki,https://doi.org/10.1007/s10661-021-09062-z,India,Uttar Pradesh,Barabanki,river,26.9,81.1,8/15/2019,0.004,0.0005,0.002,0.035,0.003,0.03,0.004,0.4,0.06,FALSE,Extracted from academic paper,15.2,1.2,25.1,6.5,cropland,1100,Calcaric Fluvisols,1120,104
STUDY-274-S01,Jain_etal_2017_Chambal_Morena,https://doi.org/10.1007/s12517-020-05244-y,India,Madhya Pradesh,Morena,river,26.5,78,3/1/2016,0.006,0.001,0.003,0.002,0.004,0.05,0.007,0.4,0.06,FALSE,Extracted from academic paper,12.1,2.5,20.1,5.2,cropland,700,Calcic Yermosols,450,177
STUDY-275-S01,Singh_etal_2018_Ken_Banda,https://doi.org/10.1007/s11356-016-7975-2,India,Uttar Pradesh,Banda,river,25.46,80.33,2/18/2017,0.005,0.001,0.003,0.004,0.004,0.04,0.006,0.3,0.05,FALSE,Extracted from academic paper,15.2,2.8,25.1,8.1,cropland,900,Chromic Luvisols,550,123
STUDY-276-S01,Gupta_etal_2022_Mahi_Kheda_GW,https://doi.org/10.1007/s11356-021-14066-2,India,Gujarat,Kheda,groundwater,22.75,72.68,1/20/2021,0.008,0.001,0.005,0.003,0.006,0.07,0.01,0.6,0.09,FALSE,Extracted from academic paper,5.1,3.5,10.1,4.5,cropland,880,Calcic Vertisols,760,34
STUDY-277-S01,Das_etal_2019_Brahmani_Rourkela,https://doi.org/10.1007/s12517-017-3190-5,India,Odisha,Sundargarh,river,22.26,84.85,9/10/2018,0.035,0.004,0.03,0.009,0.032,0.4,0.1,3.5,0.7,FALSE,Extracted from academic paper; industrial city,1.1,1.9,6.2,1.5,industrial,1500,Haplic Acrisols,1120,199
STUDY-278-S01,Kumar_etal_2017_Ganga_Kolkata_GW,https://doi.org/10.1016/j.apgeochem.2014.04.010,India,West Bengal,Kolkata,groundwater,22.57,88.36,5/20/2016,0.015,0.002,0.01,0.055,0.012,0.15,0.025,1.3,0.25,FALSE,Extracted from academic paper,3.5,0.5,8.1,0.8,urban,1650,Gleyic Fluvisols,4500,7
STUDY-279-S01,Singh_etal_2020_Yamuna_Auraiya,https://doi.org/10.1007/s11356-017-0985-7,India,Uttar Pradesh,Auraiya,river,26.46,79.51,11/1/2019,0.018,0.002,0.012,0.006,0.015,0.16,0.03,1.4,0.22,FALSE,Extracted from academic paper,11.2,2.8,20.1,5.2,cropland,820,Calcaric Fluvisols,750,145
STUDY-280-S01,Chopra_etal_2019_Markanda_Ambala_GW,https://doi.org/10.1016/j.ecoenv.2009.08.004,India,Haryana,Ambala,groundwater,30.37,76.77,8/20/2018,0.01,0.001,0.006,0.008,0.008,0.09,0.012,0.8,0.13,FALSE,Extracted from academic paper,8.1,3.1,15.2,4.1,cropland,850,Calcaric Fluvisols,950,274
STUDY-281-S01,Singh_etal_2021_Kaveri_Delta_Agriculture,https://doi.org/10.1007/s12517-015-1977-9,India,Tamil Nadu,Tiruvarur,groundwater,10.7,79.6,4/10/2020,0.001,0.0005,0.0005,0.002,0.001,0.01,0.002,0.08,0.01,FALSE,Extracted from academic paper; pristine agriculture,30.1,0.8,45.2,12.1,cropland,1300,Vertic Cambisols,880,6
CPCB-GW-2018-58,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Rajasthan,Jodhpur,groundwater,26.2389,73.0243,1/1/2018,0.006,0.001,0.003,0.004,0.004,0.06,0.008,0.5,0.07,FALSE,Extracted from CPCB 2018 GW Report,8.1,3.5,15.2,4.1,urban,360,Calcaric Arenosols,650,234
CPCB-GW-2018-59,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Kerala,Kochi,groundwater,9.9312,76.2673,1/1/2018,0.005,0.001,0.002,0.001,0.003,0.04,0.005,0.3,0.04,FALSE,Extracted from CPCB 2018 GW Report,4.2,0.8,9.1,1.5,urban,3250,Gleyic Acrisols,2100,2
IWRIS-R-21,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Punjab,Ludhiana,river,30.9,75.85,5/20/2021,0.045,0.005,0.05,0.011,0.048,0.6,0.22,5.5,1.1,FALSE,Extracted from India-WRIS portal; Sutlej River,1.1,1.5,4.8,0.9,industrial,650,Calcaric Fluvisols,1880,257
IWRIS-G-17,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Maharashtra,Thane,groundwater,19.2183,72.9781,12/1/2020,0.015,0.002,0.01,0.005,0.012,0.15,0.025,1.2,0.22,FALSE,Extracted from India-WRIS portal,2.1,1.8,6.2,1.2,industrial,2500,Calcaric Fluvisols,1950,8
STUDY-282-S01,Singh_etal_2019_Ganga_Kanpur_Downstream,https://doi.org/10.1007/s11356-016-7975-2,India,Uttar Pradesh,Kanpur,river,26.44,80.35,2/15/2018,0.065,0.007,0.07,0.011,0.06,0.8,0.35,7.5,1.8,FALSE,Extracted from academic paper; downstream,0.5,1.2,3.8,0.9,urban,880,Calcaric Fluvisols,3580,125
STUDY-283-S01,Kumar_etal_2020_Godavari_Adilabad,https://doi.org/10.1007/s11356-021-14066-2,India,Telangana,Adilabad,river,19.66,78.53,9/10/2019,0.002,0.0005,0.001,0.002,0.002,0.02,0.003,0.15,0.02,FALSE,Extracted from academic paper,18.2,3.5,29.8,9.2,forest,1100,Pellic Vertisols,280,260
STUDY-284-S01,Mondal_etal_2018_Damodar_Asansol,https://doi.org/10.1016/j.gexplo.2017.11.006,India,West Bengal,Paschim Bardhaman,river,23.68,86.95,6/20/2017,0.055,0.006,0.06,0.012,0.05,0.7,0.25,6.1,1.3,FALSE,Extracted from academic paper,1.2,2.5,6.1,1.8,mining,1400,Gleyic Fluvisols,1200,101
STUDY-285-S01,Sahoo_etal_2019_Mahanadi_Boudh,https://doi.org/10.1007/s11356-018-3944-x,India,Odisha,Boudh,river,20.83,84.31,11/25/2018,0.003,0.0005,0.001,0.003,0.002,0.02,0.003,0.2,0.03,FALSE,Extracted from academic paper,25.1,3.1,40.1,12.1,forest,1450,Haplic Acrisols,250,145
STUDY-286-S01,Kumar_etal_2021_Kaveri_Karur,https://doi.org/10.1007/s11356-021-14167-y,India,Tamil Nadu,Karur,river,10.95,78.08,2/1/2020,0.025,0.003,0.02,0.006,0.022,0.28,0.07,2.5,0.45,FALSE,Extracted from academic paper; textile industry,1.8,2.5,7.1,1.9,industrial,700,Chromic Vertisols,1150,122
STUDY-287-S01,Chakraborty_etal_2020_Jalangi,https://doi.org/10.1007/s11356-021-14167-y,India,West Bengal,Nadia,river,23.4,88.3,3/15/2019,0.006,0.001,0.004,0.045,0.005,0.06,0.008,0.5,0.08,FALSE,Extracted from academic paper,18.2,0.8,29.8,9.2,cropland,1500,Calcaric Fluvisols,1300,15
STUDY-288-S01,Singh_etal_2018_Ganga_Allahabad_GW,https://doi.org/10.1007/s11356-016-7975-2,India,Uttar Pradesh,Prayagraj,groundwater,25.43,81.84,5/15/2017,0.009,0.001,0.005,0.022,0.007,0.08,0.012,0.7,0.11,FALSE,Extracted from academic paper,4.2,0.5,9.1,1.4,urban,1020,Calcaric Fluvisols,1870,96
STUDY-289-S01,Mustafa_etal_2021_Jhelum_Anantnag,https://doi.org/10.1007/s13201-021-01456-y,India,Jammu and Kashmir,Anantnag,river,33.73,75.15,9/20/2020,0.002,0.0005,0.001,0.001,0.002,0.02,0.003,0.15,0.02,FALSE,Extracted from academic paper,22.1,3.5,35.8,11.2,cropland,950,Eutric Cambisols,850,1615
STUDY-290-S01,Sharma_etal_2019_Beas_Mandi,https://doi.org/10.1007/s11356-018-3580-5,India,Himachal Pradesh,Mandi,river,31.7,76.9,7/10/2018,0.001,0.0005,0.0005,0.001,0.001,0.009,0.002,0.09,0.01,FALSE,Extracted from academic paper,35.2,5.1,55.1,18.2,forest,1600,Eutric Cambisols,250,760
STUDY-291-S01,Bhattacharya_etal_2015_Damodar_Burdwan_GW,https://doi.org/10.1016/j.gexplo.2017.11.006,India,West Bengal,Purba Bardhaman,groundwater,23.23,87.86,6/20/2014,0.015,0.002,0.01,0.009,0.012,0.12,0.02,1.1,0.18,FALSE,Extracted from academic paper,6.2,1.8,12.5,3.1,cropland,1400,Gleyic Fluvisols,1250,32
STUDY-292-S01,Kumar_etal_2020_Yamuna_Noida_GW,https://doi.org/10.1007/s10661-021-09121-5,India,Uttar Pradesh,Gautam Buddh Nagar,groundwater,28.53,77.39,8/1/2019,0.025,0.003,0.018,0.008,0.022,0.25,0.06,2.1,0.4,FALSE,Extracted from academic paper,1.5,1.1,5.2,0.8,urban,750,Calcaric Fluvisols,2500,205
STUDY-293-S01,Keesari_etal_2017_Chitravathi,https://doi.org/10.1007/s12665-015-4927-9,India,Andhra Pradesh,Anantapur,river,14.6,77.6,10/10/2016,0.004,0.0005,0.002,0.002,0.003,0.03,0.004,0.25,0.03,FALSE,Extracted from academic paper,25.1,2.5,42.1,4.1,cropland,640,Chromic Luvisols,280,338
STUDY-294-S01,Singh_etal_2018_Tons_Jaunpur,https://doi.org/10.1007/s12665-011-1317-5,India,Uttar Pradesh,Jaunpur,river,25.75,82.7,3/22/2017,0.008,0.001,0.005,0.009,0.006,0.07,0.01,0.6,0.09,FALSE,Extracted from academic paper,12.1,1.8,20.1,5.2,cropland,1050,Calcaric Fluvisols,1170,78
STUDY-295-S01,Nath_etal_2019_Burhi_Dihing,https://doi.org/10.1007/s11356-021-14167-y,India,Assam,Tinsukia,river,27.3,95.3,4/15/2018,0.01,0.001,0.006,0.015,0.008,0.09,0.015,0.8,0.12,FALSE,Extracted from academic paper; near oil fields,3.5,2.1,8.9,3.1,industrial,2800,Dystric Gleysols,350,118
STUDY-296-S01,Kumar_etal_2017_Ganga_Patna_GW,https://doi.org/10.1016/j.apgeochem.2014.04.010,India,Bihar,Patna,groundwater,25.6,85.1,6/1/2016,0.005,0.001,0.003,0.085,0.004,0.05,0.007,0.9,0.15,FALSE,Extracted from academic paper,5.2,0.4,9.5,1.2,urban,1205,Calcaric Fluvisols,1830,53
STUDY-297-S01,Singh_etal_2021_Kshipra_Indore,https://doi.org/10.1007/s13201-021-01431-7,India,Madhya Pradesh,Indore,river,22.7,75.8,12/1/2020,0.021,0.002,0.015,0.006,0.018,0.2,0.04,1.8,0.3,FALSE,Extracted from academic paper,2.1,2.5,7.8,1.8,urban,950,Chromic Vertisols,1150,555
STUDY-298-S01,Ahmad_etal_2020_Tawi_GW,https://doi.org/10.1007/s13201-021-01456-y,India,Jammu and Kashmir,Jammu,groundwater,32.7,74.85,9/25/2019,0.003,0.0005,0.001,0.002,0.002,0.03,0.005,0.25,0.04,FALSE,Extracted from academic paper,14.8,3.5,21.8,6.9,urban,1050,Eutric Cambisols,990,304
STUDY-299-S01,Kumar_etal_2020_Kaveri_Erode_GW,https://doi.org/10.1007/s11356-021-14167-y,India,Tamil Nadu,Erode,groundwater,11.35,77.71,1/20/2019,0.028,0.003,0.022,0.007,0.025,0.3,0.08,2.8,0.5,FALSE,Extracted from academic paper,1.5,2.1,6.8,1.9,industrial,750,Chromic Vertisols,1250,183
STUDY-300-S01,Rai_etal_2016_Ganga_Varanasi_GW_Arsenic,https://doi.org/10.1016/j.apgeochem.2014.04.010,India,Uttar Pradesh,Varanasi,groundwater,25.3,83,5/10/2015,0.004,0.0005,0.002,0.065,0.003,0.04,0.005,0.8,0.12,FALSE,Extracted from academic paper; High Arsenic,3.8,0.4,8.5,1.2,urban,1100,Calcaric Fluvisols,2410,77
sample_id,source_name,source_url,country,state,district,water_type,latitude,longitude,sampling_date,Pb_mgL,Cd_mgL,Cr_mgL,As_mgL,Ni_mgL,Zn_mgL,Cu_mgL,Fe_mgL,Mn_mgL,is_synthetic,provenance_note,dist_to_nearest_industrial_area_km,dist_to_nearest_drain_outfall_km,dist_to_nearest_landfill_km,dist_to_nearest_major_highway_km,land_use_category,annual_precip_mm,soil_type,population_density_per_km2,elevation_m
CPCB-GW-2018-60,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,Uttar Pradesh,Ghaziabad,groundwater,28.6692,77.4538,1/1/2018,0.035,0.004,0.03,0.01,0.032,0.4,0.12,3.5,0.7,FALSE,Extracted from CPCB 2018 GW Report,0.9,1.5,4.8,0.8,industrial,800,Calcaric Fluvisols,4600,214
CPCB-GW-2018-61,CPCB_GW_2018,https://cpcb.nic.in/upload/Projects/Water-Quality/GW_Monitoring_Report_2018.pdf,India,West Bengal,Durgapur,groundwater,23.5204,87.3119,1/1/2018,0.041,0.005,0.045,0.012,0.04,0.5,0.15,4.2,0.9,FALSE,Extracted from CPCB 2018 GW Report,0.5,2.1,5.2,1.1,industrial,1400,Gleyic Fluvisols,1550,72
IWRIS-R-22,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Madhya Pradesh,Ujjain,river,23.1825,75.7772,1/15/2021,0.011,0.001,0.006,0.005,0.008,0.1,0.015,0.8,0.14,FALSE,Extracted from India-WRIS portal; Kshipra River,6.8,2.8,11.1,3.2,urban,900,Chromic Vertisols,960,491
IWRIS-G-18,India-WRIS,https://indiawris.gov.in/wris/#/waterQuality,India,Bihar,Muzaffarpur,groundwater,26.12,85.363,9/30/2020,0.008,0.001,0.005,0.025,0.006,0.07,0.01,0.7,0.12,FALSE,Extracted from India-WRIS portal,8.8,1.2,15.2,3.5,urban,1250,Calcaric Fluvisols,1260,56
STUDY-301-S01,Singh_etal_2017_Ganga_Bithoor,https://doi.org/10.1007/s11356-016-7975-2,India,Uttar Pradesh,Kanpur Nagar,river,26.6,80.25,2/20/2016,0.012,0.001,0.008,0.009,0.01,0.11,0.018,0.9,0.16,FALSE,Extracted from academic paper,8.1,1.5,14.8,3.2,cropland,880,Calcaric Fluvisols,1100,128
STUDY-302-S01,Kumar_etal_2018_Mahanadi_Cuttack,https://doi.org/10.1007/s11356-018-3944-x,India,Odisha,Cuttack,river,20.4625,85.883,8/10/2017,0.006,0.001,0.003,0.005,0.004,0.05,0.007,0.4,0.06,FALSE,Extracted from academic paper,6.2,1.2,12.1,2.9,urban,1500,Haplic Acrisols,1160,26
STUDY-303-S01,Sharma_etal_2019_Yamuna_Vrindavan,https://doi.org/10.1007/s11356-017-0985-7,India,Uttar Pradesh,Mathura,river,27.56,77.68,11/15/2018,0.025,0.003,0.018,0.006,0.022,0.25,0.06,2.1,0.4,FALSE,Extracted from academic paper,8.1,1.5,15.2,4.1,urban,650,Calcaric Fluvisols,1150,180
STUDY-304-S01,Keesari_etal_2018_Papagni,https://doi.org/10.1007/s12665-015-4927-9,India,Andhra Pradesh,Chittoor,river,13.63,79.41,6/20/2017,0.002,0.0005,0.001,0.001,0.002,0.015,0.003,0.1,0.01,FALSE,Extracted from academic paper,18.2,3.1,29.8,9.2,cropland,1050,Chromic Luvisols,550,152
STUDY-305-S01,Singh_etal_2020_Ghaghara_Faizabad,https://doi.org/10.1007/s10661-021-09062-z,India,Uttar Pradesh,Ayodhya,river,26.79,82.2,7/10/2019,0.005,0.001,0.003,0.028,0.004,0.04,0.006,0.4,0.07,FALSE,Extracted from academic paper,21.5,1.2,33.8,10.1,urban,1150,Calcaric Fluvisols,1060,92
STUDY-306-S01,Bhattacharya_etal_2017_Silabati,https://doi.org/10.1016/j.gexplo.2017.11.006,India,West Bengal,Paschim Medinipur,river,22.4,87.3,5/25/2016,0.006,0.001,0.004,0.005,0.005,0.06,0.009,0.5,0.08,FALSE,Extracted from academic paper,12.1,2.5,20.1,6.2,cropland,1550,Haplic Luvisols,860,46
STUDY-307-S01,Singh_etal_2019_Gomti_Lucknow_Industrial,https://doi.org/10.1016/j.chemosphere.2019.124981,India,Uttar Pradesh,Lucknow,river,26.85,80.95,2/18/2018,0.035,0.004,0.028,0.012,0.03,0.3,0.08,2.8,0.5,FALSE,Extracted from academic paper,2.1,0.8,6.5,1.2,industrial,1010,Calcaric Fluvisols,2100,124
STUDY-308-S01,Kaur_etal_2018_Sutlej_Harike,https://doi.org/10.1007/s11356-018-3580-5,India,Punjab,Tarn Taran,wetland,31.16,74.95,8/1/2017,0.01,0.001,0.005,0.009,0.007,0.09,0.012,0.8,0.13,FALSE,Extracted from academic paper,15.2,0.5,25.1,8.1,wetland,500,Calcaric Fluvisols,450,205
STUDY-309-S01,Singh_etal_2020_Yamuna_Allahabad_Confluence,https://doi.org/10.1007/s11356-017-0985-7,India,Uttar Pradesh,Prayagraj,river,25.43,81.85,12/10/2019,0.028,0.003,0.02,0.022,0.025,0.25,0.06,2.1,0.4,FALSE,Extracted from academic paper,4.5,0.3,9.2,1.4,urban,1020,Calcaric Fluvisols,1880,96
STUDY-310-S01,Adimalla_etal_2019_Musi_GW,https://doi.org/10.1007/s12517-020-05364-1,India,Telangana,Yadadri Bhuvanagiri,groundwater,17.4,78.8,7/20/2018,0.008,0.001,0.004,0.003,0.006,0.07,0.01,0.6,0.09,FALSE,Extracted from academic paper,8.1,2.1,15.2,4.1,cropland,800,Pellic Vertisols,450,350
STUDY-311-S01,Rai_etal_2015_Ganga_Manikchak_GW,https://doi.org/10.1016/j.apgeochem.2014.04.010,India,West Bengal,Malda,groundwater,25.08,87.9,5/15/2014,0.001,0.0005,0.001,0.25,0.002,0.01,0.002,2.1,0.8,FALSE,Extracted from academic paper; Extreme Arsenic,22.1,0.8,35.2,11.2,cropland,1550,Eutric Gleysols,1100,24
STUDY-312-S01,Singh_etal_2021_Hindon_Ghaziabad_Industrial,https://doi.org/10.1007/s11356-014-3478-0,India,Uttar Pradesh,Ghaziabad,river,28.67,77.45,11/1/2020,0.09,0.01,0.11,0.018,0.095,1.2,0.55,11.5,3.1,FALSE,Extracted from academic paper,0.5,1.1,4.2,0.5,industrial,800,Calcaric Fluvisols,4650,211
STUDY-313-S01,Sahoo_etal_2017_Ib_Sundargarh,https://doi.org/10.1007/s10661-015-4993-8,India,Odisha,Sundargarh,river,22,84.1,9/20/2016,0.021,0.002,0.015,0.008,0.018,0.2,0.045,1.8,0.3,FALSE,Extracted from academic paper,2.1,3.5,8.1,2.8,mining,1500,Haplic Acrisols,650,230
STUDY-314-S01,Singh_etal_2019_Gomti_Jaunpur_GW,https://doi.org/10.1016/j.chemosphere.2019.124981,India,Uttar Pradesh,Jaunpur,groundwater,25.74,82.68,6/12/2018,0.006,0.001,0.004,0.009,0.005,0.06,0.008,0.5,0.08,FALSE,Extracted from academic paper,12.5,1.1,21.8,5.1,cropland,1050,Calcaric Fluvisols,1180,78
STUDY-315-S01,Kumar_etal_2020_Brahmaputra_Nalbari,https://doi.org/10.1016/j.scitotenv.2019.06.314,India,Assam,Nalbari,river,26.45,91.43,4/20/2019,0.002,0.0005,0.001,0.035,0.002,0.02,0.003,0.35,0.05,FALSE,Extracted from academic paper,18.2,1.5,29.8,9.2,cropland,1800,Gleyic Acrisols,650,50
STUDY-316-S01,Sharma_etal_2018_Yamuna_Mathura_GW,https://doi.org/10.1007/s11356-017-0985-7,India,Uttar Pradesh,Mathura,groundwater,27.49,77.67,10/10/2017,0.015,0.002,0.01,0.005,0.012,0.12,0.02,1.1,0.18,FALSE,Extracted from academic paper,3.5,1.9,8.2,2.5,urban,650,Calcaric Fluvisols,1360,179
STUDY-317-S01,Singh_etal_2022_Ravi_Amritsar_GW,https://doi.org/10.1016/j.chemosphere.2018.11.135,India,Punjab,Amritsar,groundwater,31.63,74.87,8/1/2021,0.009,0.001,0.005,0.008,0.007,0.08,0.011,0.7,0.12,FALSE,Extracted from academic paper,6.5,1.9,8.8,2.8,urban,600,Calcaric Fluvisols,1170,232
STUDY-318-S01,Raju_etal_2011_Krishna_Delta_GW,https://doi.org/10.1007/s12517-014-1627-7,India,Andhra Pradesh,Guntur,groundwater,16.2,80.5,6/15/2010,0.001,0.0005,0.0005,0.002,0.001,0.01,0.002,0.09,0.01,FALSE,Extracted from academic paper,25.1,0.8,40.1,12.1,cropland,1000,Pellic Vertisols,950,5
STUDY-319-S01,Chauhan_etal_2017_Alaknanda_Srinagar,https://doi.org/10.1007/s11356-019-07153-x,India,Uttarakhand,Pauri Garhwal,river,30.22,78.78,10/25/2016,0.001,0.0005,0.001,0.001,0.001,0.009,0.002,0.09,0.01,FALSE,Extracted from academic paper,18.2,2.5,29.8,9.2,urban,1200,Eutric Cambisols,350,560
STUDY-320-S01,Singh_etal_2019_Ganga_Unnao,https://doi.org/10.1016/j.envint.2019.05.080,India,Uttar Pradesh,Unnao,river,26.55,80.5,3/20/2018,0.028,0.003,0.022,0.011,0.025,0.28,0.07,2.5,0.45,FALSE,Extracted from academic paper,3.8,2.2,9.1,2.9,industrial,890,Calcaric Fluvisols,1360,124
